Ward_ID,LGA,Ward,Population,Routing_Cells,Weighted_2SFCA_per_10000,Median_2SFCA_per_10000,Min_2SFCA_per_10000,Max_2SFCA_per_10000,Mean_Accessible_PHC_Count,Zero_Access_Population,Zero_Access_Pct,2SFCA_Rank,Low_Access_Rank,2SFCA_Quintile
KANO_W353,Rimin Gado,Dugurawa,10192.902290582657,27,1.4529888861398832,1.331783129341322,0.1650627969242315,2.190320892488051,17.299738907547336,0.0,0.0,40,445,Very High
KANO_W354,Rimin Gado,Gulu,24801.377804279327,26,1.3229293493907992,0.7433613443146699,0.18519309815925933,2.077214388842388,7.445201673812358,0.0,0.0,61,424,Very High
KANO_W355,Rimin Gado,Jili,16988.444175958633,36,1.6055287118327073,1.6454307088280655,0.21112685281195862,2.3741482909275367,12.441317540653486,0.0,0.0,26,459,Very High
KANO_W356,Rimin Gado,Karofin Yashi,11955.282813072205,24,1.1450811407809818,1.2246468139506295,0.39831926626866526,1.7692201546136652,10.513985926291042,0.0,0.0,103,382,High
KANO_W357,Rimin Gado,Rimin Gado,26785.561093568802,24,2.1509841677947104,1.6759060818876912,0.2895022571120727,2.481239654194075,28.898313972833744,0.0,0.0,7,478,Very High
KANO_W358,Rimin Gado,Sakara Tsa,10601.250041246414,16,0.7065692209564303,0.7482021235549869,0.21974899179882476,1.3141104144551825,11.084253881639649,0.0,0.0,341,144,Low
KANO_W359,Rimin Gado,Tamawa,12603.04921078682,26,1.5098704989805332,1.4343537214937103,0.5829081480148247,2.4402834261123836,8.22722944111381,0.0,0.0,34,451,Very High
KANO_W360,Rimin Gado,Yalwan Danziyal,18904.0281457901,24,1.1664454748441453,1.1251716575622597,0.2895022571120727,2.4402834261123836,12.652605837154425,0.0,0.0,97,388,Very High
KANO_W361,Rimin Gado,Zango,14091.147215366364,31,1.6961929552233002,1.294162547730792,0.28678063336775955,2.830614969869058,24.392739390081257,0.0,0.0,19,466,Very High
KANO_W362,Rogo,Beli,33321.369710206985,76,0.8782307066793776,0.8429614597611363,0.2400792615112175,1.4314397756318067,10.08263644228469,0.0,0.0,209,276,Moderate
KANO_W363,Rogo,Falgore,42211.47146272659,69,0.5983190809021948,0.6139207024149211,0.0,1.1178103487632998,3.7835004028564927,320.1258668899536,0.7583859453291741,409,76,Very Low
