Ward_ID,LGA,Ward,Demand_Population,Routing_Cells,Weighted_Mean_Time_Min,Median_Cell_Time_Min,P90_Cell_Time_Min,Max_Time_Min,Pop_Within_5min,Pct_Within_5min,Pop_Within_10min,Pct_Within_10min,Pop_Within_15min,Pct_Within_15min,Pop_Within_30min,Pct_Within_30min,Ward_Raster_Population,Population_Difference,Population_Difference_Pct,Poor_Access_Rank
KANO_W040,Bebeji,Rahama,27304.87781572342,42,2.2902889892145817,3.5641983688737406,8.012731120022591,10.268190474002921,21707.530401945114,79.50055864906639,26808.565325975418,98.18233030340754,27304.87781572342,100.0,27304.87781572342,100.0,27304.87781572342,0.0,0.0,261
KANO_W041,Bebeji,Ranka,34916.460077762604,104,6.667961624832802,6.171475971599236,17.456349686706588,29.656551088646772,15107.039974212646,43.26624159656417,28043.24633193016,80.3152618262989,33362.54156756401,95.54961039367149,34916.460077762604,100.0,34916.460077762604,0.0,0.0,6
KANO_W042,Bebeji,Rantan,50408.79292225838,67,2.2466952123023742,5.254562427309917,8.664017420790032,11.40032375950178,42872.82180809975,85.0502845291678,48842.425063848495,96.89266937848409,50408.79292225838,100.0,50408.79292225838,100.0,50408.79292225838,0.0,0.0,265
KANO_W043,Bebeji,Tariwa,28358.654621362686,41,2.3673623305598372,4.3441642360515225,8.676693721341373,8.676693721341373,25109.534985542297,88.5427581836946,28358.654621362686,100.0,28358.654621362686,100.0,28358.654621362686,100.0,28358.65462136269,-3.637978807091713e-12,-1.2828460502323016e-14,251
KANO_W044,Bebeji,Wak,22383.871805906296,17,1.2196024443300624,2.10409391035698,5.868648344134518,7.167122609772563,22037.544127225876,98.45278028000037,22383.871805906296,100.0,22383.871805906296,100.0,22383.871805906296,100.0,22383.871805906296,0.0,0.0,404
KANO_W045,Bichi,Badume,90503.92381310463,103,1.7679456757569751,2.350909582340028,5.569849349251738,11.891446929711432,85488.37430739403,94.45819662353206,90158.93529176712,99.61881374110374,90503.92381310463,100.0,90503.92381310463,100.0,90503.92381310464,-1.4551915228366852e-11,-1.607876721280872e-14,329
KANO_W046,Bichi,Bichi,124955.55677390099,94,1.8361253309790881,3.0986378337361393,7.7118904636012715,14.335764887174921,117258.17000937462,93.83990039078111,123168.68644428253,98.56999530412907,124955.55677390099,100.0,124955.55677390099,100.0,124955.556773901,-1.4551915228366852e-11,-1.1645672752831313e-14,318
KANO_W047,Bichi,Danzabuwa,61892.10955309868,95,3.578005627437737,3.5794444567342127,10.29104198243185,15.480149726000144,46695.17916941643,75.44609402811767,56513.01657867432,91.3089196453879,58512.472989320755,94.53947104375486,61892.10955309868,100.0,61892.10955309868,0.0,0.0,112
KANO_W048,Bichi,Fagolo,24970.085165023804,63,2.9236775493941165,2.8330154708585957,5.9038759924586195,7.222476597360403,18437.485209703445,73.83829525551347,24970.085165023804,100.0,24970.085165023804,100.0,24970.085165023804,100.0,24970.085165023804,0.0,0.0,175
KANO_W049,Bichi,Kau-Kau,33661.78238654137,61,2.3222000963683267,2.858497217640498,6.407775659869072,7.782443552244856,27064.004015922546,80.39979495186583,33661.78238654137,100.0,33661.78238654137,100.0,33661.78238654137,100.0,33661.78238654137,0.0,0.0,257
KANO_W050,Bichi,Kwamarawa,28445.725249290466,53,3.352928710173532,3.3980062238500572,6.389390372179473,8.929224042949606,18910.943698883057,66.48079292460564,28445.725249290466,100.0,28445.725249290466,100.0,28445.725249290466,100.0,28445.725249290463,3.637978807091713e-12,1.2789193368105308e-14,134
KANO_W051,Bichi,Kyalli,47393.93415474892,88,3.0533496382949092,4.573620013769732,8.531865654281098,11.261893083261192,36438.64266419411,76.8846125861086,45078.13627552986,95.11372516225896,47393.93415474892,100.0,47393.93415474892,100.0,47393.93415474892,0.0,0.0,167
KANO_W052,Bichi,Muntsira,51636.58268404007,76,2.720803195325808,2.266611872148068,5.010526155514804,11.891446929711432,42329.24972295761,81.97531192559111,48149.40929436684,93.24669990070615,51636.58268404007,100.0,51636.58268404007,100.0,51636.58268404007,0.0,0.0,203
KANO_W053,Bichi,Saye,24767.7471306324,31,1.6596374921840729,2.553141744047643,4.772688875493119,5.324391964372466,24677.870379686356,99.63712181623944,24767.7471306324,100.0,24767.7471306324,100.0,24767.7471306324,100.0,24767.7471306324,0.0,0.0,340
KANO_W054,Bichi,Waire,36939.8991420269,84,4.379026573797194,4.546571540040709,8.126415135181448,8.437421754142514,22852.963107824326,61.86525583071849,36939.8991420269,100.0,36939.8991420269,100.0,36939.8991420269,100.0,36939.8991420269,0.0,0.0,48
