Demand_ID,Grid_Row,Grid_Col,Demand_Cell_Population,Nearest_Node,Snap_Distance_m,Snap_Quality,Demand_Node,Accessible_PHC_Nodes,Accessible_PHC_Count,TwoSFCA_per_Person,Mean_PHC_Travel_Time_Min,Min_PHC_Travel_Time_Min,Max_PHC_Travel_Time_Min,TwoSFCA_per_10000,TwoSFCA_Class,Travel_Time_Min,Ward_ID,LGA,Ward,Planning_Priority_Rank,Planning_Priority_Score_100,Facility_ID,facility_name,Nearest_Existing_PHC_m,Population_Score,Supply_Deficit_Score,Travel_Deficit_Score,PHC_Separation_Score,Ward_Priority_Score,Candidate_Score,Candidate_Score_100,Candidate_Rank,Scenario_Shortlist
KANO_DMD_07268,80,158,1536.5667734146118,2758093309,146.08400961458662,Excellent,2758093309.0,1.0,1.0,1.6417499643418475e-05,12.257804028151996,12.257804028151996,12.257804028151996,0.16417499643418476,Very Low,12.257804028151995,KANO_W009,Ajingi,Toranke,17,63.63903629087567,KANO_PHC_1317,Maimakawa Primary Health Center,6287.582154544473,0.07974762203419238,0.9282158131530035,0.35970937643264494,0.3379454184107955,0.5054636470831123,0.4291582926549682,42.91582926549682,24,Reserve
KANO_DMD_06811,77,113,48.079134941101074,2749407336,593.6307167018641,Moderate,,0.0,0.0,0.0,,,,0.0,Very Low,20.230390651078658,KANO_W101,Dawakin Kudu,Yargaya,34,58.705399732187004,KANO_PHC_1103,Madari Health Post,3149.890296798199,0.0023775734686138795,1.0,0.5936676087638036,0.1683976044383287,0.3341788241988748,0.4281243168789817,42.812431687898176,25,Reserve
KANO_DMD_16472,208,90,259.93189549446106,2970378345,581.0503885946608,Moderate,,0.0,0.0,0.0,,,,0.0,Very Low,18.587360449259343,KANO_W122,Doguwa,Unguwar Natsohuwa,84,50.416974528641155,KANO_PHC_0521,Asada Health Post,7409.375443144435,0.01338946093687318,1.0,0.5454523356203375,0.3985624606297603,0.04642324551150929,0.42753399905074446,42.753399905074446,26,Reserve
KANO_DMD_10651,108,29,28.39128065109253,2870007588,1995.2970012671149,Poor,2870007588.0,1.0,1.0,2.1718426774898944e-05,13.70634611857275,13.70634611857275,13.70634611857275,0.21718426774898944,Very Low,13.70634611857275,KANO_W366,Rogo,Jajaye,7,68.63729470723794,KANO_PHC_0139,Ba'Awa Primary Health Center,5866.808352397135,0.0013542191570307927,0.9050379388156616,0.4022173306212587,0.31520855272564596,0.6789919962819462,0.4222896991123179,42.228969911231786,27,Reserve
KANO_DMD_06418,74,124,1195.8100283145905,2852571211,299.1754929108235,Good,2852571211.0,1.0,1.0,1.586491547443694e-05,13.19862998525378,13.19862998525378,13.19862998525378,0.1586491547443694,Very Low,13.198629985253781,KANO_W468,Warawa,Katarkawa,13,66.18227615662926,KANO_PHC_0633,Alitini Health Post,4013.435947315514,0.062035438717389986,0.9306319426548405,0.38731823015419947,0.21506001870605954,0.5937592450210194,0.4203671906177779,42.03671906177779,28,Reserve
KANO_DMD_10256,105,43,64.08258295059204,5917810867,625.351262171717,Moderate,,0.0,0.0,0.0,,,,0.0,Very Low,19.43085235213678,KANO_W259,Kiru,Maraku,77,51.74537181356056,KANO_PHC_0775,Turawa Primary Health Center,5472.085652154743,0.0032094161508821883,1.0,0.5702048888275183,0.29387938020470983,0.09254222711071312,0.4183399323525461,41.83399323525461,29,Reserve
KANO_DMD_05032,64,132,576.2112896442413,2760825856,1024.281455142898,Poor,,0.0,0.0,0.0,,,,0.0,Very Low,15.887728399938549,KANO_W136,Gabasawa,Joda,21,62.176289647506536,KANO_PHC_0659,Wasarde Health Post,2535.231363861143,0.02982933685734474,1.0,0.4662307263640204,0.1351839929229579,0.45468035634947357,0.4179405809033985,41.794058090339846,30,Reserve
KANO_DMD_10715,108,100,59.47228455543518,2824519208,1661.477384243706,Poor,,0.0,0.0,0.0,,,,0.0,Very Low,23.37121874268331,KANO_W341,Rano,Madachi,94,49.11967804669272,KANO_PHC_0563,Jalabi Health Post,2942.226205021923,0.0029697776066878274,1.0,0.6858362640725777,0.15717630088223794,0.0013840142070567394,0.4117730326495632,41.17730326495632,31,Reserve
KANO_DMD_09972,102,134,2539.691707611084,2754035279,673.472628655798,Moderate,2754035279.0,4.0,4.0,2.160109886916976e-05,11.272557163434909,8.031672325262099,14.074341408821658,0.2160109886916976,Very Low,8.031672325262099,KANO_W475,Wudil,Achika,4,70.35518855668931,KANO_PHC_0666,Taka Kwadi Health Post,2606.6141828213736,0.13188901902672437,0.9055509455761404,0.2356921221122607,0.13904122347924094,0.7386334271487972,0.40781239276127035,40.78123927612703,32,Reserve
KANO_DMD_03953,55,99,2172.886426448822,12086807398,744.6040561508502,Moderate,12086807398.0,4.0,4.0,6.529878194323628e-06,13.515903971217543,10.860201654983069,14.94663009675127,0.06529878194323628,Very Low,10.860201654983067,KANO_W318,Minjibir,Azore,22,61.96842458206612,KANO_PHC_1071,Sanbauna Primary Health Center,2742.1433645175052,0.112822859735849,0.9714486367248153,0.3186962653567313,0.14636465660392048,0.44746374635109837,0.40714934329900265,40.71493432990027,33,Reserve
